Year,m,d,Time,Time zone,Precipitation amount (mm),Snow depth (cm),Air temperature (degC),Ground minimum temperature (degC),Maximum temperature (degC),Minimum temperature (degC)
2021,5,14,00:00,UTC,0,-1,13.5,-,18.9,5.4
2021,5,14,06:00,UTC,-,-,-,4.9,-,-
2021,5,15,00:00,UTC,0,-1,15.3,-,20.2,11.3
2021,5,15,06:00,UTC,-,-,-,10.9,-,-
2021,5,16,00:00,UTC,0,-1,14.2,-,18.9,9.4
2021,5,16,06:00,UTC,-,-,-,7.7,-,-
2021,5,17,00:00,UTC,16.5,-1,12.9,-,21,5.3
2021,5,17,06:00,UTC,-,-,-,6.4,-,-
2021,5,18,00:00,UTC,7.8,-1,11.9,-,15.2,8.4
2021,5,18,06:00,UTC,-,-,-,5.4,-,-
2021,5,19,00:00,UTC,3.1,-1,12.9,-,15.2,11.7
2021,5,19,06:00,UTC,-,-,-,11.4,-,-
2021,5,20,00:00,UTC,17.5,-1,11.9,-,16,9.2
2021,5,20,06:00,UTC,-,-,-,9.4,-,-
2021,5,21,00:00,UTC,1.5,-1,10.1,-,13,9
2021,5,21,06:00,UTC,-,-,-,8.7,-,-
2021,5,22,00:00,UTC,-1,-1,11.4,-,16.8,6.8
2021,5,22,06:00,UTC,-,-,-,6.4,-,-
2021,5,23,00:00,UTC,-1,-1,11.4,-,16.5,6.4
2021,5,23,06:00,UTC,-,-,-,6,-,-
2021,5,24,00:00,UTC,-1,-1,12.1,-,17.5,6.2
2021,5,24,06:00,UTC,-,-,-,4.8,-,-
2021,5,25,00:00,UTC,0,-1,11.2,-,15.3,3.1
2021,5,25,06:00,UTC,-,-,-,4.6,-,-
2021,5,26,00:00,UTC,30.6,-1,9.4,-,12.6,7.9
2021,5,26,06:00,UTC,-,-,-,9.1,-,-
2021,5,27,00:00,UTC,0.2,-1,10.1,-,13.3,7.9
2021,5,27,06:00,UTC,-,-,-,7.5,-,-
2021,5,28,00:00,UTC,-1,-1,10.9,-,15.4,4.6
2021,5,28,06:00,UTC,-,-,-,2.6,-,-
2021,5,29,00:00,UTC,-1,-1,10.6,-,16,6
2021,5,29,06:00,UTC,-,-,-,5.1,-,-
2021,5,30,00:00,UTC,-1,-1,11.3,-,15.9,3.9
2021,5,30,06:00,UTC,-,-,-,3,-,-
2021,5,31,00:00,UTC,1.2,-1,12,-,18.3,3.9
2021,5,31,06:00,UTC,-,-,-,3.1,-,-
2021,6,1,00:00,UTC,-1,-1,13.3,-,18.5,8.1
2021,6,1,06:00,UTC,-,-,-,7.7,-,-
2021,6,2,00:00,UTC,-1,-1,16.1,-,22.2,4.9
2021,6,2,06:00,UTC,-,-,-,3.5,-,-
2021,6,3,00:00,UTC,-1,-1,16.6,-,20.6,10.7
2021,6,3,06:00,UTC,-,-,-,11.1,-,-
2021,6,4,00:00,UTC,-1,-1,17.3,-,23.3,7.9
2021,6,4,06:00,UTC,-,-,-,7.1,-,-
2021,6,5,00:00,UTC,-1,-1,18.3,-,25.5,7.9
2021,6,5,06:00,UTC,-,-,-,6.7,-,-
2021,6,6,00:00,UTC,3,-1,19.1,-,26.5,10.4
2021,6,6,06:00,UTC,-,-,-,8.7,-,-
2021,6,7,00:00,UTC,2.1,-1,18.9,-,26.5,11.2
2021,6,7,06:00,UTC,-,-,-,10.6,-,-
2021,6,8,00:00,UTC,0,-1,17.3,-,22.3,10.4
2021,6,8,06:00,UTC,-,-,-,9.5,-,-
2021,6,9,00:00,UTC,-1,-1,17.6,-,22.9,9.9
2021,6,9,06:00,UTC,-,-,-,10.1,-,-
2021,6,10,00:00,UTC,-1,-1,17.8,-,24,7.5
2021,6,10,06:00,UTC,-,-,-,7.1,-,-
2021,6,11,00:00,UTC,-1,-1,18.5,-,24.9,8.7
2021,6,11,06:00,UTC,-,-,-,8.1,-,-
2021,6,12,00:00,UTC,11.2,-1,17.5,-,22.7,10.4
2021,6,12,06:00,UTC,-,-,-,11.5,-,-
2021,6,13,00:00,UTC,1,-1,15.1,-,19.7,13.6
2021,6,13,06:00,UTC,-,-,-,13.7,-,-
2021,6,14,00:00,UTC,0.8,-1,15.8,-,21,6.6
2021,6,15,00:00,UTC,-1,-1,16.2,-,20.4,13.9
2021,6,15,06:00,UTC,-,-,-,13.5,-,-
2021,6,16,00:00,UTC,-1,-1,16.5,-,22.2,7.1
2021,6,16,06:00,UTC,-,-,-,4.9,-,-
2021,6,17,00:00,UTC,-1,-1,17.1,-,22.8,9.5
2021,6,17,06:00,UTC,-,-,-,8,-,-
2021,6,18,00:00,UTC,-1,-1,20.3,-,27.5,8.5
2021,6,18,06:00,UTC,-,-,-,7.6,-,-
2021,6,19,00:00,UTC,-1,-1,23,-,28.8,17.1
2021,6,19,06:00,UTC,-,-,-,13.8,-,-
2021,6,20,00:00,UTC,-1,-1,24.2,-,30.7,14.9
2021,6,20,06:00,UTC,-,-,-,16,-,-
2021,6,21,00:00,UTC,-1,-1,26.2,-,31.7,17.7
2021,6,21,06:00,UTC,-,-,-,18.6,-,-
2021,6,22,00:00,UTC,-1,-1,26,-,30.4,18.9
2021,6,22,06:00,UTC,-,-,-,20,-,-
2021,6,23,00:00,UTC,7.3,-1,22.3,-,30.8,18.1
2021,6,23,06:00,UTC,-,-,-,17.8,-,-
2021,6,24,00:00,UTC,-1,-1,20.3,-,24,17.4
2021,6,24,06:00,UTC,-,-,-,16.7,-,-
2021,6,25,00:00,UTC,-1,-1,21,-,24.5,15
2021,6,25,06:00,UTC,-,-,-,14.6,-,-
2021,6,26,00:00,UTC,-1,-1,22.1,-,26.2,15.8
2021,6,26,06:00,UTC,-,-,-,14.6,-,-
2021,6,27,00:00,UTC,0,-1,20.2,-,25.8,17.7
2021,6,27,06:00,UTC,-,-,-,16.2,-,-
2021,6,28,00:00,UTC,-1,-1,19.8,-,24.9,13.3
2021,6,28,06:00,UTC,-,-,-,14.9,-,-
2021,6,29,00:00,UTC,-1,-1,20.4,-,26.2,13.5
2021,6,29,06:00,UTC,-,-,-,15.7,-,-
2021,6,30,00:00,UTC,0.1,-1,20.1,-,27,11.9
2021,6,30,06:00,UTC,-,-,-,11.8,-,-
2021,7,1,00:00,UTC,-1,-1,21.2,-,26.3,16.8
2021,7,1,06:00,UTC,-,-,-,15.4,-,-
2021,7,2,00:00,UTC,-1,-1,20.2,-,25,15.1
2021,7,2,06:00,UTC,-,-,-,14.7,-,-
2021,7,3,00:00,UTC,-1,-1,20.6,-,27.5,10.8
2021,7,3,06:00,UTC,-,-,-,10.1,-,-
2021,7,4,00:00,UTC,-1,-1,21.3,-,27.3,11.6
2021,7,4,06:00,UTC,-,-,-,12.8,-,-
2021,7,5,00:00,UTC,-1,-1,23.2,-,27.9,13.9
2021,7,5,06:00,UTC,-,-,-,14.8,-,-
2021,7,6,00:00,UTC,0.2,-1,23,-,28.1,17.6
2021,7,6,06:00,UTC,-,-,-,18.1,-,-
2021,7,7,00:00,UTC,-1,-1,23.3,-,28.5,17.3
2021,7,7,06:00,UTC,-,-,-,16.6,-,-
2021,7,8,00:00,UTC,0.4,-1,22,-,25.4,18.7
2021,7,8,06:00,UTC,-,-,-,17.5,-,-
2021,7,9,00:00,UTC,-1,-1,21.2,-,27.3,14
2021,7,9,06:00,UTC,-,-,-,14.2,-,-
2021,7,10,00:00,UTC,-1,-1,26.2,-,31.9,16.1
2021,7,10,06:00,UTC,-,-,-,16.8,-,-
2021,7,11,00:00,UTC,-1,-1,23.3,-,28.8,19.1
2021,7,11,06:00,UTC,-,-,-,19.6,-,-
2021,7,12,00:00,UTC,-1,-1,21.7,-,28.1,12
2021,7,12,06:00,UTC,-,-,-,12.1,-,-
2021,7,13,00:00,UTC,-1,-1,23.6,-,30,13.3
2021,7,13,06:00,UTC,-,-,-,12.8,-,-
2021,7,14,00:00,UTC,-1,-1,25.1,-,32.1,16.3
2021,7,14,06:00,UTC,-,-,-,16.3,-,-
2021,7,15,00:00,UTC,0,-1,26.2,-,32.1,16.1
2021,7,15,06:00,UTC,-,-,-,16.2,-,-
2021,7,16,00:00,UTC,-1,-1,23.5,-,29.3,18
2021,7,16,06:00,UTC,-,-,-,18.3,-,-
2021,7,17,00:00,UTC,-1,-1,21,-,27.8,12.2
2021,7,17,06:00,UTC,-,-,-,13.7,-,-
2021,7,18,00:00,UTC,0,-1,20.9,-,29.2,11.9
2021,7,18,06:00,UTC,-,-,-,11.7,-,-
2021,7,19,00:00,UTC,-1,-1,16.8,-,22.7,12.1
2021,7,19,06:00,UTC,-,-,-,11.7,-,-
2021,7,20,00:00,UTC,2.2,-1,16.2,-,22.1,11.5
2021,7,20,06:00,UTC,-,-,-,9.6,-,-
2021,7,21,00:00,UTC,-1,-1,15.3,-,21.2,9
2021,7,21,06:00,UTC,-,-,-,8.8,-,-
2021,7,22,00:00,UTC,-1,-1,17.4,-,24.9,10.3
2021,7,22,06:00,UTC,-,-,-,8.7,-,-
2021,7,23,00:00,UTC,-1,-1,16.7,-,22.2,10.8
2021,7,24,00:00,UTC,-1,-1,17,-,22.9,8.6
2021,7,24,06:00,UTC,-,-,-,7.5,-,-
2021,7,25,00:00,UTC,-1,-1,20.1,-,26.9,10.5
2021,7,25,06:00,UTC,-,-,-,10.9,-,-
2021,7,26,00:00,UTC,-1,-1,22.1,-,29.4,12.7
2021,7,26,06:00,UTC,-,-,-,11.9,-,-
2021,7,27,00:00,UTC,7.8,-1,23.7,-,29.8,12.6
2021,7,27,06:00,UTC,-,-,-,14.6,-,-
2021,7,28,00:00,UTC,9.5,-1,20.1,-,26.1,18.3
2021,7,28,06:00,UTC,-,-,-,18.2,-,-
2021,7,29,00:00,UTC,0,-1,21.1,-,25.6,18.2
2021,7,29,06:00,UTC,-,-,-,17.5,-,-
2021,7,30,00:00,UTC,12.6,-1,16.8,-,20.9,14.1
