"STATION","NAME","DATE","TMAX","TMIN"
"USW00093227","NAPA CO AIRPORT, CA US","2020-09-29","83","54"
"USW00093227","NAPA CO AIRPORT, CA US","2020-09-30","91","51"
"USW00093227","NAPA CO AIRPORT, CA US","2020-10-01","91","56"
"USW00093227","NAPA CO AIRPORT, CA US","2020-10-02","90","53"
"USW00093227","NAPA CO AIRPORT, CA US","2020-10-03","91","51"
"USW00093227","NAPA CO AIRPORT, CA US","2020-10-04","81","49"
"USW00093227","NAPA CO AIRPORT, CA US","2020-10-05","86","45"
"USW00093227","NAPA CO AIRPORT, CA US","2020-10-06","84","46"
"USW00093227","NAPA CO AIRPORT, CA US","2020-10-07","72","43"
"USW00093227","NAPA CO AIRPORT, CA US","2020-10-08","70","55"
"USW00093227","NAPA CO AIRPORT, CA US","2020-10-09","73","58"
"USW00093227","NAPA CO AIRPORT, CA US","2020-10-10","72","54"
"USW00093227","NAPA CO AIRPORT, CA US","2020-10-11","82","47"
"USW00093227","NAPA CO AIRPORT, CA US","2020-10-12","87","47"
"USW00093227","NAPA CO AIRPORT, CA US","2020-10-13","91","48"
"USW00093227","NAPA CO AIRPORT, CA US","2020-10-14","94","52"
"USW00093227","NAPA CO AIRPORT, CA US","2020-10-15","101","51"
"USW00093227","NAPA CO AIRPORT, CA US","2020-10-16","97","54"
"USW00093227","NAPA CO AIRPORT, CA US","2020-10-17","95",
"USW00093227","NAPA CO AIRPORT, CA US","2020-10-18","91","49"
"USW00093227","NAPA CO AIRPORT, CA US","2020-10-19","83","50"
"USW00093227","NAPA CO AIRPORT, CA US","2020-10-20","87","46"
"USW00093227","NAPA CO AIRPORT, CA US","2020-10-21","86","47"
"USW00093227","NAPA CO AIRPORT, CA US","2020-10-22","77","48"
"USW00093227","NAPA CO AIRPORT, CA US","2020-10-23","73","44"
"USW00093227","NAPA CO AIRPORT, CA US","2020-10-24","67","42"
"USW00093227","NAPA CO AIRPORT, CA US","2020-10-25","76","56"
"USW00093227","NAPA CO AIRPORT, CA US","2020-10-26","81","48"
"USW00093227","NAPA CO AIRPORT, CA US","2020-10-27","79","44"
"USW00093227","NAPA CO AIRPORT, CA US","2020-10-28","79","39"
"USW00093227","NAPA CO AIRPORT, CA US","2020-10-29","79","40"
"USW00093227","NAPA CO AIRPORT, CA US","2020-10-30","75","39"
"USW00093227","NAPA CO AIRPORT, CA US","2020-10-31","79","39"
"USW00093227","NAPA CO AIRPORT, CA US","2020-11-01","84","41"
"USW00093227","NAPA CO AIRPORT, CA US","2020-11-02","83","42"
"USW00093227","NAPA CO AIRPORT, CA US","2020-11-03","71","40"
"USW00093227","NAPA CO AIRPORT, CA US","2020-11-04","78","43"
"USW00093227","NAPA CO AIRPORT, CA US","2020-11-05","85","44"
"USW00093227","NAPA CO AIRPORT, CA US","2020-11-06","66","45"
"USW00093227","NAPA CO AIRPORT, CA US","2020-11-07","65","37"
"USW00093227","NAPA CO AIRPORT, CA US","2020-11-08","62","37"
"USW00093227","NAPA CO AIRPORT, CA US","2020-11-09","62","35"
"USW00093227","NAPA CO AIRPORT, CA US","2020-11-10","63","30"
"USW00093227","NAPA CO AIRPORT, CA US","2020-11-11","62","39"
"USW00093227","NAPA CO AIRPORT, CA US","2020-11-12","65","34"
"USW00093227","NAPA CO AIRPORT, CA US","2020-11-13","59","41"
"USW00093227","NAPA CO AIRPORT, CA US","2020-11-14","65","36"
"USW00093227","NAPA CO AIRPORT, CA US","2020-11-15","68","32"
"USW00093227","NAPA CO AIRPORT, CA US","2020-11-16","73","39"
"USW00093227","NAPA CO AIRPORT, CA US","2020-11-17","67","45"
"USW00093227","NAPA CO AIRPORT, CA US","2020-11-18","66","44"
"USW00093227","NAPA CO AIRPORT, CA US","2020-11-19","64","34"
"USW00093227","NAPA CO AIRPORT, CA US","2020-11-20","64","34"
"USW00093227","NAPA CO AIRPORT, CA US","2020-11-21","65","29"
"USW00093227","NAPA CO AIRPORT, CA US","2020-11-22","62","31"
"USW00093227","NAPA CO AIRPORT, CA US","2020-11-23","64","39"
"USW00093227","NAPA CO AIRPORT, CA US","2020-11-24","66","34"
"USW00093227","NAPA CO AIRPORT, CA US","2020-11-25","65","35"
"USW00093227","NAPA CO AIRPORT, CA US","2020-11-26","68","39"
"USW00093227","NAPA CO AIRPORT, CA US","2020-11-27","65","32"
"USW00093227","NAPA CO AIRPORT, CA US","2020-11-28","66","30"
"USW00093227","NAPA CO AIRPORT, CA US","2020-11-29","67","29"
"USW00093227","NAPA CO AIRPORT, CA US","2020-11-30","65","31"
"USW00093227","NAPA CO AIRPORT, CA US","2020-12-01","65","29"
"USW00093227","NAPA CO AIRPORT, CA US","2020-12-02","65","32"
"USW00093227","NAPA CO AIRPORT, CA US","2020-12-03","67","35"
"USW00093227","NAPA CO AIRPORT, CA US","2020-12-04","70","34"
"USW00093227","NAPA CO AIRPORT, CA US","2020-12-05","66","35"
"USW00093227","NAPA CO AIRPORT, CA US","2020-12-06","64","34"
"USW00093227","NAPA CO AIRPORT, CA US","2020-12-07","78","44"
"USW00093227","NAPA CO AIRPORT, CA US","2020-12-08","71","34"
"USW00093227","NAPA CO AIRPORT, CA US","2020-12-09","66","35"
"USW00093227","NAPA CO AIRPORT, CA US","2020-12-10","65","33"
"USW00093227","NAPA CO AIRPORT, CA US","2020-12-11","54","33"
"USW00093227","NAPA CO AIRPORT, CA US","2020-12-12","59","48"
"USW00093227","NAPA CO AIRPORT, CA US","2020-12-13","58","45"
"USW00093227","NAPA CO AIRPORT, CA US","2020-12-14","58","34"
"USW00093227","NAPA CO AIRPORT, CA US","2020-12-15","59","34"
"USW00093227","NAPA CO AIRPORT, CA US","2020-12-16","59","35"
"USW00093227","NAPA CO AIRPORT, CA US","2020-12-17","61","37"
"USW00093227","NAPA CO AIRPORT, CA US","2020-12-18","61","33"
"USW00093227","NAPA CO AIRPORT, CA US","2020-12-19","60","32"
"USW00093227","NAPA CO AIRPORT, CA US","2020-12-20","60","32"
"USW00093227","NAPA CO AIRPORT, CA US","2020-12-21","59","31"
"USW00093227","NAPA CO AIRPORT, CA US","2020-12-22","59","35"
"USW00093227","NAPA CO AIRPORT, CA US","2020-12-23","56","28"
"USW00093227","NAPA CO AIRPORT, CA US","2020-12-24","55","39"
"USW00093227","NAPA CO AIRPORT, CA US","2020-12-25","55","43"
"USW00093227","NAPA CO AIRPORT, CA US","2020-12-26","63","40"
"USW00093227","NAPA CO AIRPORT, CA US","2020-12-27","59","36"
"USW00093227","NAPA CO AIRPORT, CA US","2020-12-28","60","34"
"USW00093227","NAPA CO AIRPORT, CA US","2020-12-29","62","31"
"USW00093227","NAPA CO AIRPORT, CA US","2020-12-30","57","29"
"USW00093227","NAPA CO AIRPORT, CA US","2020-12-31","64","37"
